QPS,RATIO,EFS,Method
55343.81927720797,1.038071921646595,10,symphonyqg32
45812.34661224018,1.021642825114727,15,symphonyqg32
38134.83316861714,1.0149378846049308,20,symphonyqg32
33363.39096277995,1.0112254915237426,25,symphonyqg32
30104.838830544428,1.0087852876901626,30,symphonyqg32
23837.42373577687,1.0059972835063935,40,symphonyqg32
20355.741574219835,1.0044170763015747,50,symphonyqg32
17680.06475017248,1.0033814255237579,60,symphonyqg32
15290.609002856823,1.00271463752985,70,symphonyqg32
13891.66204941752,1.0020875025749207,80,symphonyqg32
11687.324759902784,1.001526217031479,100,symphonyqg32
8268.214451013268,1.0008163232564926,150,symphonyqg32
6524.254486866781,1.0005168129324913,200,symphonyqg32
5346.0882560996815,1.0003686940908432,250,symphonyqg32
4445.19480163924,1.0002715817570687,300,symphonyqg32
3416.2043593715944,1.0001578982830048,400,symphonyqg32
2774.219315523781,1.000090898001194,500,symphonyqg32
2283.4973788699226,1.000050366973877,600,symphonyqg32
1959.1068698067847,1.0000404089093209,700,symphonyqg32
1684.7711610704914,1.0000378425359726,800,symphonyqg32
