QPS,Recall,EFS,Method,Memory
3627.331354943497,0.027500000000000004,10,symphonyqg128,10492.0078125
2958.178798636817,0.0348,15,symphonyqg128,10492.0078125
2485.016088649346,0.0429,20,symphonyqg128,10492.0078125
2172.9170190652485,0.0499,25,symphonyqg128,10492.0078125
1951.4725006063406,0.05669999999999999,30,symphonyqg128,10492.0078125
1625.241974170844,0.0692,40,symphonyqg128,10492.0078125
1386.0541983551288,0.0801,50,symphonyqg128,10492.0078125
1236.1561422205996,0.0914,60,symphonyqg128,10492.0078125
1119.781328663341,0.1005,70,symphonyqg128,10492.0078125
1018.0246082290421,0.1101,80,symphonyqg128,10492.0078125
885.7937076515698,0.1264,100,symphonyqg128,10492.0078125
689.2620245283566,0.1615,150,symphonyqg128,10492.0078125
571.5017023818209,0.189,200,symphonyqg128,10492.0078125
480.37880115277613,0.2116,250,symphonyqg128,10492.0078125
423.4766498051801,0.2314,300,symphonyqg128,10492.0078125
352.5989498899341,0.2693,400,symphonyqg128,10492.0078125
303.2765673115373,0.2994,500,symphonyqg128,10492.0078125
266.3097242938578,0.3262,600,symphonyqg128,10492.0078125
233.88444982117153,0.3494,700,symphonyqg128,10492.0078125
210.05835986633866,0.3706,800,symphonyqg128,10492.0078125
180.33400147287543,0.409,1000,symphonyqg128,10492.0078125
137.94870844432165,0.4796,1500,symphonyqg128,10492.0078125
111.7497394714574,0.5305,2000,symphonyqg128,10492.0078125
93.81150550779044,0.5695,2500,symphonyqg128,10492.0078125
79.91831806649122,0.5997,3000,symphonyqg128,10492.0078125
60.46098293438223,0.6479,4000,symphonyqg128,10492.0078125
48.306696454771306,0.6829,5000,symphonyqg128,10492.0078125
39.57065125371116,0.7108,6000,symphonyqg128,10492.0078125
33.13473134836266,0.7337,7000,symphonyqg128,10492.0078125
28.31783133168205,0.7536,8000,symphonyqg128,10492.0078125
21.437059200270248,0.7862,10000,symphonyqg128,10492.0078125
12.616378908655241,0.8337,15000,symphonyqg128,10492.0078125
8.784431232701108,0.8622,20000,symphonyqg128,10492.0078125
