QPS,RATIO,EFS,Method
9662.372512232463,1.1406570793032647,10,symphonyqg64
7779.604303420507,1.1025048497915269,15,symphonyqg64
6821.107108207258,1.0830947231173516,20,symphonyqg64
5807.916293337223,1.0721135048508643,25,symphonyqg64
5438.925398132157,1.0642074025273323,30,symphonyqg64
4382.09711362785,1.0536401175260544,40,symphonyqg64
3863.5271811883,1.0475569551110269,50,symphonyqg64
3387.7219620829296,1.0419404892325401,60,symphonyqg64
3078.952670406461,1.0383872630119324,70,symphonyqg64
2874.8248011994083,1.0355630016207695,80,symphonyqg64
2393.716487877163,1.0311962895274163,100,symphonyqg64
1778.2055958470894,1.0246683924913407,150,symphonyqg64
1425.9379889903666,1.0210006729722023,200,symphonyqg64
1167.2160946176307,1.017606612086296,250,symphonyqg64
1065.0993147308538,1.0154776540398598,300,symphonyqg64
870.4503071630279,1.0125098965525627,400,symphonyqg64
728.1401380533705,1.0105067215442658,500,symphonyqg64
625.8932902942026,1.009306857383251,600,symphonyqg64
578.3037354128838,1.0082057380557061,700,symphonyqg64
514.8869918912899,1.0073902156233787,800,symphonyqg64
415.1959238012153,1.0061849215507508,1000,symphonyqg64
293.160918205299,1.0040457369923592,1500,symphonyqg64
227.73604635990569,1.003272665476799,2000,symphonyqg64
183.32283972174207,1.0027400099635124,2500,symphonyqg64
149.1469192408071,1.0023865334749222,3000,symphonyqg64
115.50038193266668,1.0016831878066064,4000,symphonyqg64
89.12359622172148,1.0013962221503259,5000,symphonyqg64
70.62586488373763,1.0012266617894172,6000,symphonyqg64
57.16950380566526,1.0010637847185135,7000,symphonyqg64
47.58203695547948,1.0009311873674394,8000,symphonyqg64
34.58975135023014,1.000667795729637,10000,symphonyqg64
19.0884266213331,1.0003075888752937,15000,symphonyqg64
12.317119365055008,1.0002052505254746,20000,symphonyqg64
8.68375805939095,1.0001296342968942,25000,symphonyqg64
