QPS,Recall,EFS,Method,Memory
45950.211804377504,53.73,10,symphonyqg64,24416.0078125
37350.887266464764,65.07,15,symphonyqg64,24416.0078125
30386.88579594803,73.1,20,symphonyqg64,24416.0078125
26397.88872830436,78.33,25,symphonyqg64,24416.0078125
23474.5731880304,82.36,30,symphonyqg64,24416.0078125
18256.244327303895,87.55,40,symphonyqg64,24416.0078125
15392.03824851967,90.86999999999999,50,symphonyqg64,24416.0078125
13343.960412482158,92.75,60,symphonyqg64,24416.0078125
11555.525546567143,94.22,70,symphonyqg64,24416.0078125
10390.447384636922,95.43,80,symphonyqg64,24416.0078125
8781.396192257087,96.89,100,symphonyqg64,24416.0078125
6165.666568605226,98.52,150,symphonyqg64,24416.0078125
4883.592452703619,99.16,200,symphonyqg64,24416.0078125
4024.2972413820003,99.53999999999999,250,symphonyqg64,24416.0078125
3365.9090549955095,99.74,300,symphonyqg64,24416.0078125
2612.03328170238,99.86,400,symphonyqg64,24416.0078125
